ABCB1
ABCC1
ABL1
ABRAXAS1
ACACA
ACTN4
AFF4
AFP
AIG1
AKAP13
AKT2
ALK
ANKRD28
ANO1
AP3S1
ARHGEF12
ARHGEF19
ARID1A
ARNT
ASPSCR1
ATF1
ATF7IP
ATG7
ATR
ATRX
AXL
BAIAP2
BAP1
BARD1
BCL2
BCL6
BCOR
BCR
BMPR1A
BRAF
BRCA1
BRCA2
BRD4
BRIP1
RRM2
CBFB
CBX3
CCDC6
CCND1
CCND3
CD19
CD22
CD38
CD5
CDK12
CDK4
CDK6
CDKN2B
CEACAM5
CEACAM7
CEP72
CHD7
CKB
CLIP1
CLTC
CLUL1
COL1A1
CPQ
RAF1
CRLF2
CRYBG3
CSF1R
CTAG1B
CTAG2
CTBS
CXCL13
DLG2
DLL4
DNAJB1
DNTT
DTL
DTX2
DUSP6
EGFR
EHD1
ELF1
EP400
EPCAM
EPHA2
EPHA6
EPOR
ERG
ERI1
ETV5
EWSR1
EXO1
EZH2
FAAP100
FAAP20
C1orf86
FAAP24
C19orf40
FAM133B
FBXO32
FCER2
FGFR1
CEP43
FGFR2
FGFR3
FGFR4
FLT3
FN1
FNDC3B
FNIP2
FOLR1
FUBP1
FUS
FXYD5
GAB1
GOT1
GPX4
Hey1
HOXA10
HOXA9
HSPA8
ICOS
IGF1R
ITPR2
JAK1
JUP
KANSL1
KDR
KIF13B
KMT2A
LITAF
LMNA
LMO7
LRP5
LYN
MAF
MAP2K2
MAPKAPK5
MCM4
MDM2
MECOM
MET
MITF
MLH1
MLLT3
MME
MS4A1
MSH4
MSH5
MSH6
MUS81
MYB
MYC
NBAS
NCOA2
NEBL
NF2
NFIB
NHEJ1
Cernunnos
XLF
NOMO1
NPM1
NRG1
NTRK1
NTRK2
NTRK3
NUDT1
MTH1
NUDT15
MTH2
NUDT18
MTH3
NUP214
NUP98
NUTM1
OFD1
PAFAH1B1
PARK7
DJ-1
PAX3
PAX7
PBX3
PDGFRB
PER1
PHF12
PIK3R1
PITPNC1
PLAG1
PML
POLL
POLM
POLN
POL4P
POLQ
PPP1CB
PPP2R2A
PRR12
PRRG2
PTCH1
PTK2
RAD1
RAD17
RAD24
RAD18
RAD51B
RAD51C
RAD52
RAD54B
RAD54L
RARA
RB1
RBM6
RELA
RET
RFC4
RIF1
RNF13
RNF43
ROS1
RPA1
RRM1
RRM2B
p53R2
RSPO3
RUNX1
RUNX2
SAMD5
SCAF8
SDHB
SDK1
SEC31A
SENP1
SETD2
SH3PXD2A
SLC2A9
SLC45A3
SMARCB1
SMARCC1
SMARCD2
SPTBN1
SRGAP3
SRP72
SS18
ST3GAL1
STAT6
STIL
SULF2
SUZ12
TCF3
TERT
TFE3
TIAM2
TIMM23
TMEM135
TMPRSS2
TNFRSF8
TOM1L2
TP53BP1
53BP1
TPD52L1
TREX1
TREX2
TRIM2
TTTY15
UBAP1
UBE2A
RAD6A
UBE2B
RAD6B
UBE2T
FANCT
UBTF
USP1
USP9Y
VGLL4
VMP1
WIF1
WWTR1
XRCC6
Ku70
YES1
ZDHHC5
ZFPM2
ZMIZ1
ZMYM4
HPRT1
SDHA
PPIA
GAPDH
RPLP0
EEF1A1
MRPL19
HUWE1
SF3A1
B2M
IPO8
HSP90AB1
HMBS
ACTB
PGK1
RPL13A
TBP
YWHAZ
GUSB
G6PD
PUM1
PMM1
TFRC
UBC
GREB1
YWHAE
ATP2A2
IFT81
PTPN12
